Название,IMO,MMSI,Тип,Ссылка,Ошибка
,,,,https://www.vesselfinder.com/ru/vessels?name=BALTIC AUTUMN,статус код: 400
,,,,https://www.vesselfinder.com/ru/vessels?name=BALTIC HOLLYHOCK,статус код: 400
,,,,https://www.vesselfinder.com/ru/vessels?name=BALTIC LADY,статус код: 400
,,,,https://www.vesselfinder.com/ru/vessels?name=BALTIC SPRING,статус код: 400
,,,,https://www.vesselfinder.com/ru/vessels?name=BAO JIA,статус код: 400
,,,,https://www.vesselfinder.com/ru/vessels?name=BAO TONG I,статус код: 400
,,,,https://www.vesselfinder.com/ru/vessels?name=BAO WEALTH,статус код: 400
,,,,https://www.vesselfinder.com/ru/vessels?name=BARON CHEMIST,статус код: 400
BEKAS,8827480,273393130,Fishing vessel,https://www.vesselfinder.com/ru/vessels?name=BEKAS,
,,,,https://www.vesselfinder.com/ru/vessels?name=BELUGA,"не все данные найдены: name='BELUGA', imo='', mmsi='', type='Unknown'"
,,,,https://www.vesselfinder.com/ru/vessels?name=BEOM GANG NO.3,статус код: 400
,,,,https://www.vesselfinder.com/ru/vessels?name=BERGE JUNGFRAU,статус код: 400
BERING,9267297,273437510,Cargo ship,https://www.vesselfinder.com/ru/vessels?name=BERING,
,,,,https://www.vesselfinder.com/ru/vessels?name=BERINGZEE,"не все данные найдены: name='BERINGZEE', imo='', mmsi='', type=''"
,,,,https://www.vesselfinder.com/ru/vessels?name=BEST HONOR,статус код: 400
,,,,https://www.vesselfinder.com/ru/vessels?name=BEST UNITY,статус код: 400
BILIBINO,8801632,273327220,Cargo ship,https://www.vesselfinder.com/ru/vessels?name=BILIBINO,
,,,,https://www.vesselfinder.com/ru/vessels?name=BK 5HO,статус код: 400
,,,,https://www.vesselfinder.com/ru/vessels?name=BK STRIZH,статус код: 400
,,,,https://www.vesselfinder.com/ru/vessels?name=BK3HO,"не все данные найдены: name='BK3HO', imo='', mmsi='', type='Pleasure craft'"
,,,,https://www.vesselfinder.com/ru/vessels?name=BLUE PRIDE,статус код: 400
,,,,https://www.vesselfinder.com/ru/vessels?name=BLUE SKY I,статус код: 400
,,,,https://www.vesselfinder.com/ru/vessels?name=BLUE STAR,статус код: 400
,,,,https://www.vesselfinder.com/ru/vessels?name=BLUEWAYS,"не все данные найдены: name='BLUEWAYS', imo='', mmsi='', type='Pleasure craft'"
,,,,https://www.vesselfinder.com/ru/vessels?name=BO CHRIS JR,статус код: 400
,,,,https://www.vesselfinder.com/ru/vessels?name=BO TONG,статус код: 400
